Tool,Sex,Name,displayName,displayValue,order,variableUse,Recommended,variableType,usageType,Units,Mean,betacoefficent,ValidCat (for _xc),PctlLow,PctlUpp,UserMin,UserMax,LowValue,HighValue,OutlierTreatmentMethod,InvalidValueTreatment,MissingValueReplacement,MissingValueTreatment,Recommended,SmokingReference
CVDPoRTFull,Female,SurveyCycle3_cat,,Canadian Community Health Survey cycle 3.1,,,,,Categorical,NA,0.25,,"[1,0]",NA,NA,NA,NA,,,,asIs,0.25,asMean,,
CVDPoRTFull,Female,SurveyCycle4_cat,,Canadian Community Health Survey cycle 4.1,,,,,Categorical,NA,0.26,,"[1,0]",NA,NA,NA,NA,,,,asIs,0.26,asMean,,
CVDPoRTReduced,Female,Age ,,Age,,Input,,continuous,active,Years,50.06,,NA,22,84,20,85,,,,returnInvalid,,,,
CVDPoRTReduced,Female,PackYears ,,Pack years,,Input,,continuous,active,Pack years,8.17,,NA,0,51.25,0,51.25,,,,asMissing,8.17,asMean,,
CVDPoRTReduced,Female,SmokeNever,,Never smoker,,Reference,,categorical,supplementary,NA,0.38,,NA,NA,NA,NA,NA,,,,asMissing,0.38,asMean,,
CVDPoRTReduced,Female,SmokeFormer5plus_cat,,Former smoker: quit 5 or more years,,Input,,categorical,active,NA,0.31,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.31,asMean,,
CVDPoRTReduced,Female,SmokeFormer0to5_cat,,Former smoker: quit less than 5 years,,Input,,categorical,active,NA,0.07,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.07,asMean,,
CVDPoRTReduced,Female,SmokeCurrent_cat,,Current smoker,,Input,,categorical,active,NA,0.23,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.23,asMean,,
CVDPoRTReduced,Female,DrinksLastWeek ,,Number of drinks in past week,,Input,,continuous,active,Drinks/Week,2.22,,NA,0,14,0,14,,,,asMissing,2.22,asMean,,
CVDPoRTReduced,Female,FormerDrinkerNo,,Not a former drinker,,Reference,,categorical,supplementary,NA,0.84,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.84,asMean,,
CVDPoRTReduced,Female,FormerDrinker_cat,,Former drinker,,Input,,categorical,active,NA,0.16,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.16,asMean,,
CVDPoRTReduced,Female,FruitVeg ,,Average daily consumption of fruit & vegetables,,Input,,continuous,active,Times/day,3.97,,NA,0.7,9.9,0.7,9.9,,,,asMissing,3.97,asMean,,
CVDPoRTReduced,Female,PhysicalActivity ,,Average daily leisure time energy expenditure in METs,,Input,,continuous,active,METs/day,1.87,,NA,0,6.9,0,6.9,,,,asMissing,1.87,asMean,,
CVDPoRTReduced,Female,BMI,,Body mass index = weight in kg divided by height in m2,,Input,,continuous,active,kg/m2,25.71,,NA,18.16,38.87,18.16,38.87,,,,asMissing,25.71,asMean,,
CVDPoRTReduced,Female,DiabetesNo ,,Does not have diabetes,,Reference,,categorical,supplementary,NA,0.95,,NA,NA,NA,NA,NA,,,,asMissing,0.95,asMean,,
CVDPoRTReduced,Female,Diabetes_cat,,Has diabetes,,Input,,categorical,active,NA,0.05,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.05,asMean,,
CVDPoRTReduced,Female,HypertensionNo ,,Does not have hypertension,,Reference,,categorical,supplementary,NA,0.80,,NA,NA,NA,NA,NA,,,,asMissing,0.80,asMean,,
CVDPoRTReduced,Female,Hypertension_cat,,Has hypertension,,Input,,categorical,active,NA,0.20,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.20,asMean,,
CVDPoRTReduced,Female,EduNoHSGrad2,,Less than high school education,,Reference,,categorical,supplementary,NA,0.19,,NA,NA,NA,NA,NA,,,,asMissing,0.19,asMean,,
CVDPoRTReduced,Female,EduHSGrad2_cat,,High school graduate,,Input,,categorical,active,NA,0.20,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.20,asMean,,
CVDPoRTReduced,Female,EduSomePS2_cat,,Some post-secondary education,,Input,,categorical,active,NA,0.07,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.07,asMean,,
CVDPoRTReduced,Female,EduPSGrad2_cat,,Post-secondary school graduate,,Input,,categorical,active,NA,0.53,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.53,asMean,,
CVDPoRTReduced,Female,SurveyCycle2_cat,,Canadian Community Health Survey cycle 2.1,,Input,,categorical,active,NA,0.25,,"[1,0]",NA,NA,NA,NA,,,,asIs,0.25,asMean,,
CVDPoRTReduced,Female,SurveyCycle3_cat,,Canadian Community Health Survey cycle 3.1,,Input,,categorical,active,NA,0.25,,"[1,0]",NA,NA,NA,NA,,,,asIs,0.25,asMean,,
CVDPoRTReduced,Female,SurveyCycle4_cat,,Canadian Community Health Survey cycle 4.1,,Input,,categorical,active,NA,0.26,,"[1,0]",NA,NA,NA,NA,,,,asIs,0.26,asMean,,
CVDPoRTFull,Male ,Age ,,Age,,,,,Continuous,Years,47.98,,NA,21,81,20,85,,,,returnInvalid,,,,
CVDPoRTFull,Male ,PackYears ,,Pack years,,,,,Continuous,Pack years,13.19,,NA,0,67.6,0,67.6,,,,asMissing,13.19,asMean,,
CVDPoRTFull,Male,SmokeNever ,,Never smoker,,,,,Reference,NA,0.25,,NA,NA,NA,NA,NA,,,,asMissing,0.25,asMean,,
CVDPoRTFull,Male,SmokeFormer5plus_cat,,Former smoker: quit 5 or more years,,,,,Categorical,NA,0.36,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.36,asMean,,
CVDPoRTFull,Male,SmokeFormer0to5_cat,,Former smoker: quit less than 5 years,,,,,Categorical,NA,0.10,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.10,asMean,,
CVDPoRTFull,Male,SmokeCurrent_cat,,Current smoker,,,,,Categorical,NA,0.28,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.28,asMean,,
CVDPoRTFull,Male,DrinksLastWeek ,,Number of drinks in past week,,,,,Continuous,Drinks/Week,5.77,,NA,0,31,0,31,,,,asMissing,5.77,asMean,,
CVDPoRTFull,Male,FormerDrinkerNo,,Not a former drinker,,,,,Reference,NA,0.89,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.89,asMean,,
CVDPoRTFull,Male,FormerDrinker_cat,,Former drinker,,,,,Categorical,NA,0.11,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.11,asMean,,
CVDPoRTFull,Male,FruitVeg ,,Average daily consumption of fruit & vegetables,,,,,Continuous,Times/day,3.01,,NA,0.4,8,0.4,8,,,,asMissing,3.01,asMean,,
CVDPoRTFull,Male,Potato ,,Average daily consumption of potatoes,,,,,Continuous,Times/day,0.41,,NA,0,1,0,1,,,,asMissing,0.41,asMean,,
CVDPoRTFull,Male,Juice ,,Average daily consumption of juice,,,,,Continuous,Times/day,0.92,,NA,0,3,0,3,,,,asMissing,0.92,asMean,,
CVDPoRTFull,Male,PhysicalActivity ,,Average daily leisure time energy expenditure in METs,,,,,Continuous,METs/day,2.20,,NA,0,8.2,0,8.2,,,,asMissing,2.20,asMean,,
CVDPoRTFull,Male,BelongCont ,,Sense of belonging in community,,,,,Continuous,NA,2.24,,NA,1,4,1,4,,,,asMissing,2.24,asMean,,
CVDPoRTFull,Male,BMI,,Body mass index = weight in kg divided by height in m2,,,,,Continuous,kg/m2,26.74,,NA,19.77,37,19.77,37,,,,asMissing,26.74,asMean,,
CVDPoRTFull,Male,DiabetesNo ,,Does not have diabetes,,,,,Reference,NA,0.94,,NA,NA,NA,NA,NA,,,,asMissing,0.94,asMean,,
CVDPoRTFull,Male,Diabetes_cat,,Has diabetes,,,,,Categorical,NA,0.06,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.06,asMean,,
CVDPoRTFull,Male,HypertensionNo ,,Does not have hypertension,,,,,Reference,NA,0.83,,NA,NA,NA,NA,NA,,,,asMissing,0.83,asMean,,
CVDPoRTFull,Male,Hypertension_cat,,Has hypertension,,,,,Categorical,NA,0.17,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.17,asMean,,
CVDPoRTFull,Male,PercentTimeCanada ,,Percent of lifetime lived in Canada,,,,,Continuous,%,90.79,,NA,18.42,100,18.42,100,,,,asMissing,90.79,asMean,,
CVDPoRTFull,Male,ImmigrantNo ,,Non-immigrant,,,,,Reference,NA,0.79,,NA,NA,NA,NA,NA,,,,asMissing,0.79,asMean,,
CVDPoRTFull,Male,Immigrant_cat,,Immigrant,,,,,Categorical,NA,0.21,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.21,asMean,,
CVDPoRTFull,Male,EthnicityWhite ,,Ethnicity - white,,,,,Reference,NA,0.89,,NA,NA,NA,NA,NA,,,,asMissing,0.89,asMean,,
CVDPoRTFull,Male,EthnicityNotWhite_cat,,Ethnicity - other than white,,,,,Categorical,NA,0.11,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.11,asMean,,
CVDPoRTFull,Male,EduNoHSGrad2 ,,Less than high school education,,,,,Reference,NA,0.19,,NA,NA,NA,NA,NA,,,,asMissing,0.19,asMean,,
CVDPoRTFull,Male,EduHSGrad2_cat,,High school graduate,,,,,Categorical,NA,0.18,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.18,asMean,,
CVDPoRTFull,Male,EduSomePS2_cat,,Some post-secondary education,,,,,Categorical,NA,0.07,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.07,asMean,,
CVDPoRTFull,Male,EduPSGrad2_cat,,Post-secondary school graduate,,,,,Categorical,NA,0.56,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.56,asMean,,
CVDPoRTFull,Male,DepInd ,,Neighbourhood deprivation index,,,,,Continuous,NA,1.95,,NA,1,3,1,3,,,,asMissing,1.95,asMean,,
CVDPoRTFull,Male,StressLow ,,"Self perceived stress - not at all, not very or a bit stressful",,,,,Reference,NA,0.38,,NA,NA,NA,NA,NA,,,,asMissing,0.38,asMean,,
CVDPoRTFull,Male,Stress_cat,,Self perceived stress - quite a bit or extremely stressful,,,,,Categorical,NA,0.62,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.62,asMean,,
CVDPoRTFull,Male,SurveyCycle2_cat,,Canadian Community Health Survey cycle 2.1,,,,,Categorical,NA,0.25,,"[1,0]",NA,NA,NA,NA,,,,asIs,0.25,asMean,,
CVDPoRTFull,Male,SurveyCycle3_cat,,Canadian Community Health Survey cycle 3.1,,,,,Categorical,NA,0.25,,"[1,0]",NA,NA,NA,NA,,,,asIs,0.25,asMean,,
CVDPoRTFull,Male,SurveyCycle4_cat,,Canadian Community Health Survey cycle 4.1,,,,,Categorical,NA,0.26,,"[1,0]",NA,NA,NA,NA,,,,asIs,0.26,asMean,,
CVDPoRTReduced,Male ,Age ,,Age,,Input,,continuous,active,Years,47.98,,NA,21,81,20,85,,,,returnInvalid,,,,
CVDPoRTReduced,Male ,PackYears ,,Pack years,,Input,,continuous,active,Pack years,13.19,,NA,0,67.6,0,67.6,,,,asMissing,13.19,asMean,,
CVDPoRTReduced,Male,SmokeNever ,,Never smoker,,Reference,,categorical,supplementary,NA,0.25,,NA,NA,NA,NA,NA,,,,asMissing,0.25,asMean,,
CVDPoRTReduced,Male,SmokeFormer5plus_cat,,Former smoker: quit 5 or more years,,Input,,categorical,active,NA,0.36,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.36,asMean,,
CVDPoRTReduced,Male,SmokeFormer0to5_cat,,Former smoker: quit less than 5 years,,Input,,categorical,active,NA,0.10,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.10,asMean,,
CVDPoRTReduced,Male,SmokeCurrent_cat,,Current smoker,,Input,,categorical,active,NA,0.28,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.28,asMean,,
CVDPoRTReduced,Male,DrinksLastWeek ,,Number of drinks in past week,,Input,,continuous,active,Drinks/Week,5.77,,NA,0,31,0,31,,,,asMissing,5.77,asMean,,
CVDPoRTReduced,Male,FruitVeg ,,Average daily consumption of fruit & vegetables,,Input,,continuous,active,Times/day,3.01,,NA,0.4,8,0.4,8,,,,asMissing,3.01,asMean,,
CVDPoRTReduced,Male,Potato ,,Average daily consumption of potatoes,,Input,,continuous,active,Times/day,0.41,,NA,0,1,0,1,,,,asMissing,0.41,asMean,,
CVDPoRTReduced,Male,Juice ,,Average daily consumption of juice,,Input,,continuous,active,Times/day,0.92,,NA,0,3,0,3,,,,asMissing,0.92,asMean,,
CVDPoRTReduced,Male,BMI,,Body mass index = weight in kg divided by height in m2,,Input,,continuous,active,kg/m2,26.74,,NA,19.77,37,19.77,37,19.77,37.00,asExtremeValues,asMissing,26.74,asMean,,
CVDPoRTReduced,Male,DiabetesNo ,,Does not have diabetes,,Reference,,categorical,supplementary,NA,0.94,,NA,NA,NA,NA,NA,,,,asMissing,0.94,asMean,,
CVDPoRTReduced,Male,Diabetes_cat,,Has diabetes,,Input,,categorical,active,NA,0.06,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.06,asMean,,
CVDPoRTReduced,Male,HypertensionNo ,,Does not have hypertension,,Reference,,categorical,supplementary,NA,0.83,,NA,NA,NA,NA,NA,,,,asMissing,0.83,asMean,,
CVDPoRTReduced,Male,Hypertension_cat,,Has hypertension,,Input,,categorical,active,NA,0.17,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.17,asMean,,
CVDPoRTReduced,Male,EduNoHSGrad2,,Less than high school education,,Reference,,categorical,supplementary,NA,0.19,,NA,NA,NA,NA,NA,,,,asMissing,0.19,asMean,,
CVDPoRTReduced,Male,EduHSGrad2_cat,,High school graduate,,Input,,categorical,active,NA,0.18,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.18,asMean,,
CVDPoRTReduced,Male,EduSomePS2_cat,,Some post-secondary education,,Input,,categorical,active,NA,0.07,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.07,asMean,,
CVDPoRTReduced,Male,EduPSGrad2_cat,,Post-secondary school graduate,,Input,,categorical,active,NA,0.56,,"[1,0]",NA,NA,NA,NA,,,,asMissing,0.56,asMean,,
CVDPoRTReduced,Male,SurveyCycle2_cat,,Canadian Community Health Survey cycle 2.1,,Input,,categorical,active,NA,0.25,,"[1,0]",NA,NA,NA,NA,,,,asIs,0.00,asMean,,
CVDPoRTReduced,Male,SurveyCycle3_cat,,Canadian Community Health Survey cycle 3.1,,Input,,categorical,active,NA,0.25,,"[1,0]",NA,NA,NA,NA,,,,asIs,0.00,asMean,,
CVDPoRTReduced,Male,SurveyCycle4_cat,,Canadian Community Health Survey cycle 4.1,,Input,,categorical,active,NA,0.26,,"[1,0]",NA,NA,NA,NA,,,,asIs,1.00,asMean,,
MPoRT,Female,Age,Age,Age,1,Input,MPoRT,continuous,active,Years,51.30,,NA,22,84,20,79,,,,returnInvalid,,,Yes,
MPoRT,Male,Age,Age,Age,1,Input,MPoRT,continuous,active,Years,49.35,,NA,21,81,20,79,,,,returnInvalid,,,Yes,
MPoRT,Female,Age_spine,Age Spline,"Age Spline- Units above 80, 0 if 80 or less",2,Input,,continuous,active,Years,NA,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,Age_spine,Age Spline,"Age Spline- Units about 65, 0 if 65 or less",2,Input,,continuous,active,Years,NA,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,QSLight_df,Light smoker function,Time varying function for light current and light former smokers,3,Input,,continuous,active,NA,NA,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,QSLight_df,Light smoker function,Time varying function for light current and light former smokers,3,Input,,continuous,active,NA,NA,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,QSHeavy_df,Heavy smoker function,Time varying function for heavy current and heavy former smokers,4,Input,,continuous,active,NA,NA,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,QSHeavy_df,Heavy smoker function,Time varying function for heavy current and heavy former smokers,4,Input,,continuous,active,NA,NA,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,AlcoholHeavy_cat,Heavy alcohol,Heavy drinker- Dummy variable,7,Input,,categorical,active,NA,0.07,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,AlcoholHeavy_cat,Heavy alcohol,Heavy drinker- Dummy variable,7,Input,,categorical,active,NA,0.21,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,AlcoholLight,Light alcohol,Light or non-drinker,5,Reference,,categorical,supplementary,NA,0.72,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,AlcoholLight,Light alcohol,Light or non-drinker,5,Reference,,categorical,supplementary,NA,0.55,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,AlcoholMod_cat,Mod. alcohol,Moderate drinker- Dummy variable,6,Input,,categorical,active,NA,0.21,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,AlcoholMod_cat,Mod. alcohol,Moderate drinker- Dummy variable,6,Input,,categorical,active,NA,0.24,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,BMI,BMI,Body mass Index,,Input,MPoRT,continuous,active,kg/m2,0.30,,NA,0.00,4.30,0.00,67.35,,,,returnInvalid,,,Yes,
MPoRT,Male,BMI,BMI,Body mass index,,Input,MPoRT,continuous,active,kg/m2,0.19,,NA,0.00,2.31,0.00,85.20,,,,returnInvalid,,,Yes,
MPoRT,Female,BMI_spline,BMI Spline,"Body mass index spline- Units above 35, 0 if 35 or less",20,Input,,continuous,active,kg/m2,NA,,NA,NA,NA,NA,NA,,,,,,,,
MPoRT,MPoRT,BMI_spline,BMI Spline,"Body mass index spline- Units above 35, 0 if 35 or less ",20,Input,,continuous,active,kg/m2,NA,,NA,NA,NA,NA,NA,,,,,,,,
MPoRT,Female,Cancer_cat,Cancer,Has cancer- Dummy variable,21,Input,MPoRT,categorical,active,NA,0.03,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Male,Cancer_cat,Cancer,Has cancer- Dummy variable,21,Input,MPoRT,categorical,active,NA,0.03,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Female,CancerNo ,No cancer,Does not have cancer,22,Reference,,categorical,supplementary,NA,0.97,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,CancerNo ,No cancer,Does not have cancer,22,Reference,,categorical,supplementary,NA,0.97,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,DepIndHigh_cat,High deprivation,High level of neighbourhood deprivation- Dummy variable,13,Input,,categorical,active,NA,0.17,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,DepIndHigh_cat,High deprivation,High level of neighbourhood deprivation- Dummy variable,13,Input,,categorical,active,NA,0.16,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,DepIndLow,Low deprivation,Low level of neighbourhood deprivaiton,15,Reference,,categorical,supplementary,NA,0.19,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,DepIndLow,Low deprivation,Low level of neighbourhood deprivation,15,Reference,,categorical,supplementary,NA,0.20,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,DepIndMod_cat,Average deprivation,Moderate level of neightbourhood deprivation- Dummy variable,14,Input,,categorical,active,NA,0.64,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,DepIndMod_cat,Average deprivation,Moderate level of neightbourhood deprivation- Dummy variable,14,Input,,categorical,active,NA,0.64,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,Diabetes_cat,Diabetes,Has diabetes- Dummy variable,23,Input,MPoRT,categorical,active,NA,0.07,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Male,Diabetes_cat,Diabetes,Has diabetes- Dummy variable,23,Input,MPoRT,categorical,active,NA,0.08,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Female,DiabetesNo ,No diabetes,Does not have diabetes,24,Reference,,categorical,supplementary,NA,0.93,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,DiabetesNo ,No diabetes,Does not have diabetes,24,Reference,,categorical,supplementary,NA,0.92,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,DietScore,Diet,Diet score,,Input,MPoRT,continuous,active,NA,NA,,NA,NA,NA,0,10,,,,returnInvalid,,,Yes,
MPoRT,Male,DietScore,Diet,Diet score,,Input,MPoRT,continuous,active,NA,NA,,NA,NA,NA,0,10,,,,returnInvalid,,,Yes,
MPoRT,Female,DietScore_cont,Diet,Final diet score,8,Input,,continuous,active,NA,5.50,,NA,0.5,10,0,10,,,,,,,,
MPoRT,Male,DietScore_cont,Diet,Final diet score,8,Input,,continuous,active,NA,4.47,,NA,0,9.2,0,10,,,,,,,,
